Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.681503
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.673243
[2]	validation_0-logloss:0.665779
[3]	validation_0-logloss:0.653416
[4]	validation_0-logloss:0.646556
[5]	validation_0-logloss:0.639652
[6]	validation_0-logloss:0.633375
[7]	validation_0-logloss:0.627241
[8]	validation_0-logloss:0.624172
[9]	validation_0-logloss:0.618822
[10]	validation_0-logloss:0.614648
[11]	validation_0-logloss:0.611659
[12]	validation_0-logloss:0.608904
[13]	validation_0-logloss:0.604564
[14]	validation_0-logloss:0.598614
[15]	validation_0-logloss:0.596277
[16]	validation_0-logloss:0.595312
[17]	validation_0-logloss:0.593712
[18]	validation_0-logloss:0.590256
[19]	validation_0-logloss:0.587189
[20]	validation_0-logloss:0.5852
[21]	validation_0-logloss:0.583332
[22]	validation_0-logloss:0.581024
[23]	validation_0-logloss:0.577434
[24]	validation_0-logloss:0.574335
[25]	validation_0-logloss:0.573547
[26]	validation_0-logloss:0.575535
[27]	validation_0-logloss:0.57485
[28]	validation_0-logloss:0.574632
[29]	validation_0-logloss:0.57486
[30]	validation_0-logloss:0.574125
[31]	validation_0-logloss:0.575359
[32]	validation_0-logloss:0.574564
[33]	validation_0-logloss:0.57529
[34]	validation_0-logloss:0.575719
[35]	validation_0-logloss:0.575986
[36]	validation_0-logloss:0.576818
[37]	validation_0-logloss:0.576518
[38]	validation_0-logloss:0.576171
[39]	validation_0-logloss:0.575947
[40]	validation_0-logloss:0.575931
[41]	validation_0-logloss:0.576504
[42]	validation_0-logloss:0.576482
[43]	validation_0-logloss:0.575802
[44]	validation_0-logloss:0.575678
[45]	validation_0-logloss:0.576652
[46]	validation_0-logloss:0.576184
[47]	validation_0-logloss:0.576588
[48]	validation_0-logloss:0.57698
[49]	validation_0-logloss:0.579016
[50]	validation_0-logloss:0.579643
[51]	validation_0-logloss:0.578935
[52]	validation_0-logloss:0.580418
[53]	validation_0-logloss:0.580521
[54]	validation_0-logloss:0.581553
[55]	validation_0-logloss:0.581478
[56]	validation_0-logloss:0.580535
[57]	validation_0-logloss:0.58152
[58]	validation_0-logloss:0.583204
[59]	validation_0-logloss:0.58187
[60]	validation_0-logloss:0.582264
[61]	validation_0-logloss:0.583275
[62]	validation_0-logloss:0.583972
[63]	validation_0-logloss:0.583659
[64]	validation_0-logloss:0.583019
[65]	validation_0-logloss:0.580884
[66]	validation_0-logloss:0.58232
[67]	validation_0-logloss:0.58248
[68]	validation_0-logloss:0.583168
[69]	validation_0-logloss:0.581478
[70]	validation_0-logloss:0.581577
[71]	validation_0-logloss:0.580525
[72]	validation_0-logloss:0.580761
[73]	validation_0-logloss:0.581592
[74]	validation_0-logloss:0.582279
[75]	validation_0-logloss:0.583669
[76]	validation_0-logloss:0.584423
[77]	validation_0-logloss:0.584244
[78]	validation_0-logloss:0.584556
[79]	validation_0-logloss:0.584056
[80]	validation_0-logloss:0.583456
[81]	validation_0-logloss:0.58447
[82]	validation_0-logloss:0.585401
[83]	validation_0-logloss:0.58649
[84]	validation_0-logloss:0.586245
[85]	validation_0-logloss:0.587473
[86]	validation_0-logloss:0.587371
[87]	validation_0-logloss:0.586886
[88]	validation_0-logloss:0.586929
[89]	validation_0-logloss:0.587348
[90]	validation_0-logloss:0.587511
[91]	validation_0-logloss:0.587579
[92]	validation_0-logloss:0.588755
[93]	validation_0-logloss:0.588543
[94]	validation_0-logloss:0.589376
[95]	validation_0-logloss:0.589456
[96]	validation_0-logloss:0.588974
[97]	validation_0-logloss:0.589648
[98]	validation_0-logloss:0.589704
[99]	validation_0-logloss:0.590017
[100]	validation_0-logloss:0.590636
[101]	validation_0-logloss:0.590613
[102]	validation_0-logloss:0.590439
[103]	validation_0-logloss:0.590699
[104]	validation_0-logloss:0.590582
[105]	validation_0-logloss:0.590282
[106]	validation_0-logloss:0.591141
[107]	validation_0-logloss:0.591165
[108]	validation_0-logloss:0.590615
[109]	validation_0-logloss:0.590008
[110]	validation_0-logloss:0.589781
[111]	validation_0-logloss:0.589504
[112]	validation_0-logloss:0.590091
[113]	validation_0-logloss:0.589888
[114]	validation_0-logloss:0.589832
[115]	validation_0-logloss:0.589632
[116]	validation_0-logloss:0.58956
[117]	validation_0-logloss:0.589632
[118]	validation_0-logloss:0.590157
[119]	validation_0-logloss:0.590091
[120]	validation_0-logloss:0.590355
[121]	validation_0-logloss:0.590554
[122]	validation_0-logloss:0.591088
[123]	validation_0-logloss:0.59114
[124]	validation_0-logloss:0.592148
[125]	validation_0-logloss:0.592099
Stopping. Best iteration:
[25]	validation_0-logloss:0.573547

Kaggle Test Data being obtained
Finished getting kaggle test data
