Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.681215
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.669126
[2]	validation_0-logloss:0.660735
[3]	validation_0-logloss:0.651296
[4]	validation_0-logloss:0.642867
[5]	validation_0-logloss:0.635565
[6]	validation_0-logloss:0.629858
[7]	validation_0-logloss:0.62435
[8]	validation_0-logloss:0.620062
[9]	validation_0-logloss:0.61519
[10]	validation_0-logloss:0.612873
[11]	validation_0-logloss:0.610027
[12]	validation_0-logloss:0.60682
[13]	validation_0-logloss:0.602324
[14]	validation_0-logloss:0.599691
[15]	validation_0-logloss:0.594767
[16]	validation_0-logloss:0.591566
[17]	validation_0-logloss:0.589211
[18]	validation_0-logloss:0.586171
[19]	validation_0-logloss:0.58479
[20]	validation_0-logloss:0.583297
[21]	validation_0-logloss:0.580328
[22]	validation_0-logloss:0.580554
[23]	validation_0-logloss:0.581291
[24]	validation_0-logloss:0.581109
[25]	validation_0-logloss:0.57952
[26]	validation_0-logloss:0.579411
[27]	validation_0-logloss:0.577721
[28]	validation_0-logloss:0.57767
[29]	validation_0-logloss:0.576186
[30]	validation_0-logloss:0.575645
[31]	validation_0-logloss:0.575753
[32]	validation_0-logloss:0.576209
[33]	validation_0-logloss:0.577661
[34]	validation_0-logloss:0.577303
[35]	validation_0-logloss:0.577128
[36]	validation_0-logloss:0.57661
[37]	validation_0-logloss:0.577047
[38]	validation_0-logloss:0.576638
[39]	validation_0-logloss:0.577049
[40]	validation_0-logloss:0.578313
[41]	validation_0-logloss:0.578509
[42]	validation_0-logloss:0.578975
[43]	validation_0-logloss:0.578627
[44]	validation_0-logloss:0.579235
[45]	validation_0-logloss:0.580334
[46]	validation_0-logloss:0.581215
[47]	validation_0-logloss:0.581145
[48]	validation_0-logloss:0.581187
[49]	validation_0-logloss:0.581944
[50]	validation_0-logloss:0.581563
[51]	validation_0-logloss:0.581051
[52]	validation_0-logloss:0.579994
[53]	validation_0-logloss:0.580803
[54]	validation_0-logloss:0.581243
[55]	validation_0-logloss:0.581706
[56]	validation_0-logloss:0.581709
[57]	validation_0-logloss:0.580864
[58]	validation_0-logloss:0.581998
[59]	validation_0-logloss:0.581007
[60]	validation_0-logloss:0.581759
[61]	validation_0-logloss:0.583102
[62]	validation_0-logloss:0.582528
[63]	validation_0-logloss:0.581931
[64]	validation_0-logloss:0.581696
[65]	validation_0-logloss:0.582363
[66]	validation_0-logloss:0.580588
[67]	validation_0-logloss:0.581072
[68]	validation_0-logloss:0.58184
[69]	validation_0-logloss:0.582828
[70]	validation_0-logloss:0.583453
[71]	validation_0-logloss:0.58488
[72]	validation_0-logloss:0.584808
[73]	validation_0-logloss:0.585274
[74]	validation_0-logloss:0.585023
[75]	validation_0-logloss:0.583826
[76]	validation_0-logloss:0.58427
[77]	validation_0-logloss:0.584134
[78]	validation_0-logloss:0.584699
[79]	validation_0-logloss:0.584844
[80]	validation_0-logloss:0.585747
[81]	validation_0-logloss:0.585496
[82]	validation_0-logloss:0.58577
[83]	validation_0-logloss:0.585686
[84]	validation_0-logloss:0.585761
[85]	validation_0-logloss:0.586514
[86]	validation_0-logloss:0.587225
[87]	validation_0-logloss:0.587345
[88]	validation_0-logloss:0.587612
[89]	validation_0-logloss:0.588248
[90]	validation_0-logloss:0.588957
[91]	validation_0-logloss:0.588825
[92]	validation_0-logloss:0.589524
[93]	validation_0-logloss:0.590226
[94]	validation_0-logloss:0.589977
[95]	validation_0-logloss:0.589924
[96]	validation_0-logloss:0.589704
[97]	validation_0-logloss:0.589414
[98]	validation_0-logloss:0.589427
[99]	validation_0-logloss:0.589194
[100]	validation_0-logloss:0.588829
[101]	validation_0-logloss:0.589005
[102]	validation_0-logloss:0.588782
[103]	validation_0-logloss:0.588941
[104]	validation_0-logloss:0.588654
[105]	validation_0-logloss:0.589224
[106]	validation_0-logloss:0.58988
[107]	validation_0-logloss:0.590031
[108]	validation_0-logloss:0.589961
[109]	validation_0-logloss:0.590088
[110]	validation_0-logloss:0.589798
[111]	validation_0-logloss:0.589578
[112]	validation_0-logloss:0.589297
[113]	validation_0-logloss:0.589313
[114]	validation_0-logloss:0.588632
[115]	validation_0-logloss:0.588583
[116]	validation_0-logloss:0.588595
[117]	validation_0-logloss:0.588807
[118]	validation_0-logloss:0.588581
[119]	validation_0-logloss:0.588457
[120]	validation_0-logloss:0.588715
[121]	validation_0-logloss:0.589077
[122]	validation_0-logloss:0.588685
[123]	validation_0-logloss:0.588915
[124]	validation_0-logloss:0.589512
[125]	validation_0-logloss:0.589516
[126]	validation_0-logloss:0.589817
[127]	validation_0-logloss:0.590346
[128]	validation_0-logloss:0.590754
[129]	validation_0-logloss:0.590806
[130]	validation_0-logloss:0.590494
Stopping. Best iteration:
[30]	validation_0-logloss:0.575645

Kaggle Test Data being obtained
Finished getting kaggle test data
