Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.682166
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.672057
[2]	validation_0-logloss:0.662939
[3]	validation_0-logloss:0.65211
[4]	validation_0-logloss:0.641555
[5]	validation_0-logloss:0.634808
[6]	validation_0-logloss:0.627064
[7]	validation_0-logloss:0.622436
[8]	validation_0-logloss:0.61788
[9]	validation_0-logloss:0.611017
[10]	validation_0-logloss:0.606732
[11]	validation_0-logloss:0.60432
[12]	validation_0-logloss:0.597764
[13]	validation_0-logloss:0.595779
[14]	validation_0-logloss:0.591703
[15]	validation_0-logloss:0.589913
[16]	validation_0-logloss:0.587764
[17]	validation_0-logloss:0.585686
[18]	validation_0-logloss:0.584172
[19]	validation_0-logloss:0.583995
[20]	validation_0-logloss:0.580959
[21]	validation_0-logloss:0.578437
[22]	validation_0-logloss:0.576713
[23]	validation_0-logloss:0.572997
[24]	validation_0-logloss:0.573604
[25]	validation_0-logloss:0.573363
[26]	validation_0-logloss:0.573203
[27]	validation_0-logloss:0.570732
[28]	validation_0-logloss:0.568634
[29]	validation_0-logloss:0.570197
[30]	validation_0-logloss:0.568814
[31]	validation_0-logloss:0.568775
[32]	validation_0-logloss:0.568916
[33]	validation_0-logloss:0.56866
[34]	validation_0-logloss:0.567055
[35]	validation_0-logloss:0.567408
[36]	validation_0-logloss:0.567979
[37]	validation_0-logloss:0.569288
[38]	validation_0-logloss:0.568757
[39]	validation_0-logloss:0.568991
[40]	validation_0-logloss:0.568645
[41]	validation_0-logloss:0.569097
[42]	validation_0-logloss:0.568242
[43]	validation_0-logloss:0.568397
[44]	validation_0-logloss:0.568419
[45]	validation_0-logloss:0.568662
[46]	validation_0-logloss:0.569046
[47]	validation_0-logloss:0.56907
[48]	validation_0-logloss:0.568547
[49]	validation_0-logloss:0.569267
[50]	validation_0-logloss:0.567765
[51]	validation_0-logloss:0.567091
[52]	validation_0-logloss:0.566706
[53]	validation_0-logloss:0.567379
[54]	validation_0-logloss:0.567933
[55]	validation_0-logloss:0.567945
[56]	validation_0-logloss:0.566792
[57]	validation_0-logloss:0.566596
[58]	validation_0-logloss:0.565963
[59]	validation_0-logloss:0.565255
[60]	validation_0-logloss:0.56492
[61]	validation_0-logloss:0.564994
[62]	validation_0-logloss:0.564859
[63]	validation_0-logloss:0.564424
[64]	validation_0-logloss:0.563283
[65]	validation_0-logloss:0.56314
[66]	validation_0-logloss:0.562895
[67]	validation_0-logloss:0.563009
[68]	validation_0-logloss:0.56353
[69]	validation_0-logloss:0.563471
[70]	validation_0-logloss:0.563187
[71]	validation_0-logloss:0.563338
[72]	validation_0-logloss:0.563697
[73]	validation_0-logloss:0.563202
[74]	validation_0-logloss:0.562654
[75]	validation_0-logloss:0.562169
[76]	validation_0-logloss:0.562613
[77]	validation_0-logloss:0.562534
[78]	validation_0-logloss:0.562674
[79]	validation_0-logloss:0.562119
[80]	validation_0-logloss:0.562518
[81]	validation_0-logloss:0.562121
[82]	validation_0-logloss:0.562094
[83]	validation_0-logloss:0.562448
[84]	validation_0-logloss:0.562241
[85]	validation_0-logloss:0.562659
[86]	validation_0-logloss:0.562412
[87]	validation_0-logloss:0.56233
[88]	validation_0-logloss:0.562491
[89]	validation_0-logloss:0.562827
[90]	validation_0-logloss:0.562625
[91]	validation_0-logloss:0.562673
[92]	validation_0-logloss:0.563089
[93]	validation_0-logloss:0.563447
[94]	validation_0-logloss:0.563459
[95]	validation_0-logloss:0.563463
[96]	validation_0-logloss:0.563549
[97]	validation_0-logloss:0.563296
[98]	validation_0-logloss:0.563273
[99]	validation_0-logloss:0.563134
[100]	validation_0-logloss:0.56325
[101]	validation_0-logloss:0.563403
[102]	validation_0-logloss:0.56297
[103]	validation_0-logloss:0.563148
[104]	validation_0-logloss:0.563065
[105]	validation_0-logloss:0.56291
[106]	validation_0-logloss:0.562662
[107]	validation_0-logloss:0.562719
[108]	validation_0-logloss:0.563104
[109]	validation_0-logloss:0.56347
[110]	validation_0-logloss:0.563026
[111]	validation_0-logloss:0.56307
[112]	validation_0-logloss:0.562647
[113]	validation_0-logloss:0.562743
[114]	validation_0-logloss:0.562393
[115]	validation_0-logloss:0.56242
[116]	validation_0-logloss:0.562262
[117]	validation_0-logloss:0.56192
[118]	validation_0-logloss:0.562163
[119]	validation_0-logloss:0.562213
[120]	validation_0-logloss:0.562159
[121]	validation_0-logloss:0.562308
[122]	validation_0-logloss:0.562258
[123]	validation_0-logloss:0.562559
[124]	validation_0-logloss:0.562482
[125]	validation_0-logloss:0.562421
[126]	validation_0-logloss:0.562326
[127]	validation_0-logloss:0.562564
[128]	validation_0-logloss:0.562427
[129]	validation_0-logloss:0.56252
[130]	validation_0-logloss:0.562363
[131]	validation_0-logloss:0.562485
[132]	validation_0-logloss:0.562645
[133]	validation_0-logloss:0.562538
[134]	validation_0-logloss:0.562756
[135]	validation_0-logloss:0.562749
[136]	validation_0-logloss:0.562849
[137]	validation_0-logloss:0.562787
[138]	validation_0-logloss:0.562542
[139]	validation_0-logloss:0.562603
[140]	validation_0-logloss:0.562449
[141]	validation_0-logloss:0.562569
[142]	validation_0-logloss:0.562774
[143]	validation_0-logloss:0.562872
[144]	validation_0-logloss:0.562879
[145]	validation_0-logloss:0.562653
[146]	validation_0-logloss:0.562825
[147]	validation_0-logloss:0.562911
[148]	validation_0-logloss:0.562953
[149]	validation_0-logloss:0.563049
[150]	validation_0-logloss:0.563046
[151]	validation_0-logloss:0.563064
[152]	validation_0-logloss:0.563195
[153]	validation_0-logloss:0.563191
[154]	validation_0-logloss:0.563166
[155]	validation_0-logloss:0.563119
[156]	validation_0-logloss:0.563157
[157]	validation_0-logloss:0.563028
[158]	validation_0-logloss:0.563088
[159]	validation_0-logloss:0.56306
[160]	validation_0-logloss:0.563085
[161]	validation_0-logloss:0.563158
[162]	validation_0-logloss:0.563179
[163]	validation_0-logloss:0.562965
[164]	validation_0-logloss:0.562801
[165]	validation_0-logloss:0.562818
[166]	validation_0-logloss:0.562989
[167]	validation_0-logloss:0.562886
[168]	validation_0-logloss:0.562909
[169]	validation_0-logloss:0.562835
[170]	validation_0-logloss:0.562831
[171]	validation_0-logloss:0.562868
[172]	validation_0-logloss:0.562859
[173]	validation_0-logloss:0.562908
[174]	validation_0-logloss:0.562848
[175]	validation_0-logloss:0.562918
[176]	validation_0-logloss:0.562848
[177]	validation_0-logloss:0.56278
[178]	validation_0-logloss:0.562876
[179]	validation_0-logloss:0.562917
[180]	validation_0-logloss:0.562901
[181]	validation_0-logloss:0.562886
[182]	validation_0-logloss:0.562821
[183]	validation_0-logloss:0.562907
[184]	validation_0-logloss:0.56297
[185]	validation_0-logloss:0.563062
[186]	validation_0-logloss:0.563132
[187]	validation_0-logloss:0.563131
[188]	validation_0-logloss:0.563108
[189]	validation_0-logloss:0.563247
[190]	validation_0-logloss:0.563176
[191]	validation_0-logloss:0.563224
[192]	validation_0-logloss:0.563208
[193]	validation_0-logloss:0.563252
[194]	validation_0-logloss:0.563229
[195]	validation_0-logloss:0.563135
[196]	validation_0-logloss:0.563136
[197]	validation_0-logloss:0.563134
