Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.681859
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.67182
[2]	validation_0-logloss:0.663708
[3]	validation_0-logloss:0.654127
[4]	validation_0-logloss:0.645897
[5]	validation_0-logloss:0.639168
[6]	validation_0-logloss:0.63199
[7]	validation_0-logloss:0.6287
[8]	validation_0-logloss:0.6226
[9]	validation_0-logloss:0.617395
[10]	validation_0-logloss:0.613226
[11]	validation_0-logloss:0.60957
[12]	validation_0-logloss:0.606748
[13]	validation_0-logloss:0.605866
[14]	validation_0-logloss:0.603652
[15]	validation_0-logloss:0.60146
[16]	validation_0-logloss:0.598851
[17]	validation_0-logloss:0.595473
[18]	validation_0-logloss:0.592702
[19]	validation_0-logloss:0.589486
[20]	validation_0-logloss:0.586258
[21]	validation_0-logloss:0.586252
[22]	validation_0-logloss:0.584788
[23]	validation_0-logloss:0.58258
[24]	validation_0-logloss:0.582177
[25]	validation_0-logloss:0.580158
[26]	validation_0-logloss:0.577379
[27]	validation_0-logloss:0.575615
[28]	validation_0-logloss:0.574872
[29]	validation_0-logloss:0.574853
[30]	validation_0-logloss:0.57402
[31]	validation_0-logloss:0.575313
[32]	validation_0-logloss:0.573914
[33]	validation_0-logloss:0.57508
[34]	validation_0-logloss:0.576151
[35]	validation_0-logloss:0.576383
[36]	validation_0-logloss:0.577907
[37]	validation_0-logloss:0.576207
[38]	validation_0-logloss:0.575275
[39]	validation_0-logloss:0.574231
[40]	validation_0-logloss:0.573592
[41]	validation_0-logloss:0.573538
[42]	validation_0-logloss:0.574816
[43]	validation_0-logloss:0.574142
[44]	validation_0-logloss:0.573445
[45]	validation_0-logloss:0.572079
[46]	validation_0-logloss:0.571714
[47]	validation_0-logloss:0.569973
[48]	validation_0-logloss:0.568899
[49]	validation_0-logloss:0.5688
[50]	validation_0-logloss:0.568566
[51]	validation_0-logloss:0.568703
[52]	validation_0-logloss:0.569007
[53]	validation_0-logloss:0.568568
[54]	validation_0-logloss:0.568582
[55]	validation_0-logloss:0.569173
[56]	validation_0-logloss:0.569162
[57]	validation_0-logloss:0.567673
[58]	validation_0-logloss:0.567994
