Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.681878
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.671513
[2]	validation_0-logloss:0.662948
[3]	validation_0-logloss:0.653234
[4]	validation_0-logloss:0.646189
[5]	validation_0-logloss:0.639428
[6]	validation_0-logloss:0.632765
[7]	validation_0-logloss:0.628521
[8]	validation_0-logloss:0.622678
[9]	validation_0-logloss:0.616159
[10]	validation_0-logloss:0.612517
[11]	validation_0-logloss:0.609405
[12]	validation_0-logloss:0.605602
[13]	validation_0-logloss:0.604193
[14]	validation_0-logloss:0.599837
[15]	validation_0-logloss:0.597572
[16]	validation_0-logloss:0.595455
[17]	validation_0-logloss:0.592288
[18]	validation_0-logloss:0.58946
[19]	validation_0-logloss:0.586533
[20]	validation_0-logloss:0.58348
[21]	validation_0-logloss:0.581025
[22]	validation_0-logloss:0.579531
[23]	validation_0-logloss:0.576926
[24]	validation_0-logloss:0.5769
[25]	validation_0-logloss:0.574911
[26]	validation_0-logloss:0.5729
[27]	validation_0-logloss:0.571731
[28]	validation_0-logloss:0.568901
[29]	validation_0-logloss:0.567704
[30]	validation_0-logloss:0.568161
[31]	validation_0-logloss:0.567857
[32]	validation_0-logloss:0.567536
[33]	validation_0-logloss:0.567415
[34]	validation_0-logloss:0.566171
[35]	validation_0-logloss:0.566402
[36]	validation_0-logloss:0.566398
[37]	validation_0-logloss:0.56715
[38]	validation_0-logloss:0.566378
[39]	validation_0-logloss:0.566606
[40]	validation_0-logloss:0.567698
[41]	validation_0-logloss:0.568221
[42]	validation_0-logloss:0.568192
[43]	validation_0-logloss:0.567526
[44]	validation_0-logloss:0.567972
[45]	validation_0-logloss:0.568805
[46]	validation_0-logloss:0.569454
[47]	validation_0-logloss:0.568141
[48]	validation_0-logloss:0.567139
[49]	validation_0-logloss:0.568596
[50]	validation_0-logloss:0.567597
[51]	validation_0-logloss:0.566885
[52]	validation_0-logloss:0.567406
[53]	validation_0-logloss:0.56686
[54]	validation_0-logloss:0.567016
[55]	validation_0-logloss:0.56737
[56]	validation_0-logloss:0.568066
[57]	validation_0-logloss:0.567517
[58]	validation_0-logloss:0.568521
[59]	validation_0-logloss:0.569465
[60]	validation_0-logloss:0.570338
[61]	validation_0-logloss:0.569566
[62]	validation_0-logloss:0.569788
[63]	validation_0-logloss:0.570061
[64]	validation_0-logloss:0.568286
[65]	validation_0-logloss:0.56803
[66]	validation_0-logloss:0.567969
[67]	validation_0-logloss:0.567911
[68]	validation_0-logloss:0.569035
[69]	validation_0-logloss:0.567378
[70]	validation_0-logloss:0.567014
[71]	validation_0-logloss:0.567261
[72]	validation_0-logloss:0.567899
[73]	validation_0-logloss:0.567967
[74]	validation_0-logloss:0.568019
[75]	validation_0-logloss:0.569326
[76]	validation_0-logloss:0.569809
[77]	validation_0-logloss:0.570888
[78]	validation_0-logloss:0.571093
[79]	validation_0-logloss:0.570713
[80]	validation_0-logloss:0.570376
[81]	validation_0-logloss:0.570513
[82]	validation_0-logloss:0.569234
[83]	validation_0-logloss:0.5709
[84]	validation_0-logloss:0.57028
[85]	validation_0-logloss:0.570383
[86]	validation_0-logloss:0.571996
[87]	validation_0-logloss:0.571969
[88]	validation_0-logloss:0.572225
[89]	validation_0-logloss:0.572345
[90]	validation_0-logloss:0.572859
[91]	validation_0-logloss:0.573255
[92]	validation_0-logloss:0.573807
[93]	validation_0-logloss:0.573641
[94]	validation_0-logloss:0.573706
[95]	validation_0-logloss:0.57386
[96]	validation_0-logloss:0.573583
[97]	validation_0-logloss:0.573633
[98]	validation_0-logloss:0.573496
[99]	validation_0-logloss:0.573321
[100]	validation_0-logloss:0.572367
[101]	validation_0-logloss:0.572381
[102]	validation_0-logloss:0.572254
[103]	validation_0-logloss:0.572377
[104]	validation_0-logloss:0.571545
[105]	validation_0-logloss:0.571446
[106]	validation_0-logloss:0.571504
[107]	validation_0-logloss:0.57201
[108]	validation_0-logloss:0.572808
[109]	validation_0-logloss:0.573932
[110]	validation_0-logloss:0.574663
[111]	validation_0-logloss:0.574433
[112]	validation_0-logloss:0.574308
[113]	validation_0-logloss:0.574636
[114]	validation_0-logloss:0.574408
[115]	validation_0-logloss:0.575443
[116]	validation_0-logloss:0.575905
[117]	validation_0-logloss:0.576526
[118]	validation_0-logloss:0.576583
[119]	validation_0-logloss:0.576715
[120]	validation_0-logloss:0.575866
[121]	validation_0-logloss:0.576058
[122]	validation_0-logloss:0.576898
[123]	validation_0-logloss:0.576731
[124]	validation_0-logloss:0.576393
[125]	validation_0-logloss:0.57552
[126]	validation_0-logloss:0.575614
[127]	validation_0-logloss:0.575884
[128]	validation_0-logloss:0.575804
[129]	validation_0-logloss:0.575558
[130]	validation_0-logloss:0.574954
[131]	validation_0-logloss:0.57515
[132]	validation_0-logloss:0.575352
[133]	validation_0-logloss:0.574975
[134]	validation_0-logloss:0.574421
Stopping. Best iteration:
[34]	validation_0-logloss:0.566171

Kaggle Test Data being obtained
Finished getting kaggle test data
