Using Theano backend.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5105)
Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.682828
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.671819
[2]	validation_0-logloss:0.659472
[3]	validation_0-logloss:0.654204
[4]	validation_0-logloss:0.647837
[5]	validation_0-logloss:0.643786
[6]	validation_0-logloss:0.639892
[7]	validation_0-logloss:0.635766
[8]	validation_0-logloss:0.630617
[9]	validation_0-logloss:0.627596
[10]	validation_0-logloss:0.621253
[11]	validation_0-logloss:0.618539
[12]	validation_0-logloss:0.614757
[13]	validation_0-logloss:0.61196
[14]	validation_0-logloss:0.611431
[15]	validation_0-logloss:0.607237
[16]	validation_0-logloss:0.602773
[17]	validation_0-logloss:0.60034
[18]	validation_0-logloss:0.599891
[19]	validation_0-logloss:0.601266
[20]	validation_0-logloss:0.599542
[21]	validation_0-logloss:0.600136
[22]	validation_0-logloss:0.600414
[23]	validation_0-logloss:0.59919
[24]	validation_0-logloss:0.597417
[25]	validation_0-logloss:0.596999
[26]	validation_0-logloss:0.596905
[27]	validation_0-logloss:0.597017
[28]	validation_0-logloss:0.596233
[29]	validation_0-logloss:0.595425
[30]	validation_0-logloss:0.595304
[31]	validation_0-logloss:0.594247
[32]	validation_0-logloss:0.593076
[33]	validation_0-logloss:0.590606
[34]	validation_0-logloss:0.59172
[35]	validation_0-logloss:0.59226
[36]	validation_0-logloss:0.592363
[37]	validation_0-logloss:0.592487
[38]	validation_0-logloss:0.593179
[39]	validation_0-logloss:0.591625
[40]	validation_0-logloss:0.590576
[41]	validation_0-logloss:0.592222
[42]	validation_0-logloss:0.592459
[43]	validation_0-logloss:0.592469
[44]	validation_0-logloss:0.592724
[45]	validation_0-logloss:0.593011
[46]	validation_0-logloss:0.594001
[47]	validation_0-logloss:0.594121
[48]	validation_0-logloss:0.595037
[49]	validation_0-logloss:0.595274
[50]	validation_0-logloss:0.594994
[51]	validation_0-logloss:0.593323
[52]	validation_0-logloss:0.59357
[53]	validation_0-logloss:0.593895
[54]	validation_0-logloss:0.595335
[55]	validation_0-logloss:0.596264
[56]	validation_0-logloss:0.595657
[57]	validation_0-logloss:0.596111
[58]	validation_0-logloss:0.596192
[59]	validation_0-logloss:0.596273
[60]	validation_0-logloss:0.596499
[61]	validation_0-logloss:0.596185
[62]	validation_0-logloss:0.596578
[63]	validation_0-logloss:0.596977
[64]	validation_0-logloss:0.597333
[65]	validation_0-logloss:0.59731
[66]	validation_0-logloss:0.598097
[67]	validation_0-logloss:0.598022
[68]	validation_0-logloss:0.598769
[69]	validation_0-logloss:0.598359
[70]	validation_0-logloss:0.598543
[71]	validation_0-logloss:0.59885
[72]	validation_0-logloss:0.598776
[73]	validation_0-logloss:0.598731
[74]	validation_0-logloss:0.598625
[75]	validation_0-logloss:0.598548
[76]	validation_0-logloss:0.599133
[77]	validation_0-logloss:0.599487
[78]	validation_0-logloss:0.599676
[79]	validation_0-logloss:0.600179
[80]	validation_0-logloss:0.600257
[81]	validation_0-logloss:0.600409
