Using Theano backend.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5105)
Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.681994
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.674982
[2]	validation_0-logloss:0.665482
[3]	validation_0-logloss:0.65689
[4]	validation_0-logloss:0.653089
[5]	validation_0-logloss:0.647589
[6]	validation_0-logloss:0.641813
[7]	validation_0-logloss:0.635967
[8]	validation_0-logloss:0.630961
[9]	validation_0-logloss:0.624901
[10]	validation_0-logloss:0.620075
[11]	validation_0-logloss:0.61641
[12]	validation_0-logloss:0.614914
[13]	validation_0-logloss:0.613059
[14]	validation_0-logloss:0.607449
[15]	validation_0-logloss:0.604382
[16]	validation_0-logloss:0.603063
[17]	validation_0-logloss:0.602501
[18]	validation_0-logloss:0.599749
[19]	validation_0-logloss:0.599256
[20]	validation_0-logloss:0.598761
[21]	validation_0-logloss:0.598614
[22]	validation_0-logloss:0.598056
[23]	validation_0-logloss:0.597348
[24]	validation_0-logloss:0.596708
[25]	validation_0-logloss:0.595428
[26]	validation_0-logloss:0.594582
[27]	validation_0-logloss:0.592018
[28]	validation_0-logloss:0.593037
[29]	validation_0-logloss:0.592212
[30]	validation_0-logloss:0.591335
[31]	validation_0-logloss:0.591383
[32]	validation_0-logloss:0.590867
[33]	validation_0-logloss:0.589851
[34]	validation_0-logloss:0.590737
[35]	validation_0-logloss:0.590689
[36]	validation_0-logloss:0.590239
[37]	validation_0-logloss:0.590261
[38]	validation_0-logloss:0.589355
[39]	validation_0-logloss:0.588849
[40]	validation_0-logloss:0.588671
[41]	validation_0-logloss:0.588967
[42]	validation_0-logloss:0.589639
[43]	validation_0-logloss:0.590047
[44]	validation_0-logloss:0.589773
[45]	validation_0-logloss:0.589274
[46]	validation_0-logloss:0.590387
[47]	validation_0-logloss:0.590545
[48]	validation_0-logloss:0.589663
[49]	validation_0-logloss:0.588874
[50]	validation_0-logloss:0.589719
[51]	validation_0-logloss:0.590185
[52]	validation_0-logloss:0.589563
[53]	validation_0-logloss:0.590297
[54]	validation_0-logloss:0.588636
[55]	validation_0-logloss:0.589047
[56]	validation_0-logloss:0.589335
[57]	validation_0-logloss:0.589699
[58]	validation_0-logloss:0.589303
[59]	validation_0-logloss:0.589878
[60]	validation_0-logloss:0.590056
[61]	validation_0-logloss:0.590235
[62]	validation_0-logloss:0.590353
[63]	validation_0-logloss:0.590535
[64]	validation_0-logloss:0.59068
[65]	validation_0-logloss:0.590329
[66]	validation_0-logloss:0.590678
[67]	validation_0-logloss:0.591254
[68]	validation_0-logloss:0.592051
[69]	validation_0-logloss:0.593117
[70]	validation_0-logloss:0.593735
[71]	validation_0-logloss:0.593524
[72]	validation_0-logloss:0.593047
[73]	validation_0-logloss:0.593077
[74]	validation_0-logloss:0.593124
[75]	validation_0-logloss:0.593641
[76]	validation_0-logloss:0.594143
[77]	validation_0-logloss:0.593702
[78]	validation_0-logloss:0.594015
[79]	validation_0-logloss:0.594433
[80]	validation_0-logloss:0.594724
[81]	validation_0-logloss:0.595548
[82]	validation_0-logloss:0.59511
[83]	validation_0-logloss:0.594902
[84]	validation_0-logloss:0.595098
[85]	validation_0-logloss:0.595268
[86]	validation_0-logloss:0.595412
[87]	validation_0-logloss:0.595221
[88]	validation_0-logloss:0.595757
[89]	validation_0-logloss:0.595788
[90]	validation_0-logloss:0.596428
[91]	validation_0-logloss:0.596564
[92]	validation_0-logloss:0.596758
[93]	validation_0-logloss:0.597033
[94]	validation_0-logloss:0.596948
[95]	validation_0-logloss:0.597095
[96]	validation_0-logloss:0.59666
[97]	validation_0-logloss:0.596936
[98]	validation_0-logloss:0.597222
[99]	validation_0-logloss:0.597458
[100]	validation_0-logloss:0.59732
[101]	validation_0-logloss:0.597658
[102]	validation_0-logloss:0.597938
[103]	validation_0-logloss:0.597873
[104]	validation_0-logloss:0.598039
[105]	validation_0-logloss:0.597958
[106]	validation_0-logloss:0.598112
[107]	validation_0-logloss:0.598005
[108]	validation_0-logloss:0.598257
[109]	validation_0-logloss:0.598663
[110]	validation_0-logloss:0.598639
[111]	validation_0-logloss:0.598531
[112]	validation_0-logloss:0.598729
[113]	validation_0-logloss:0.598782
[114]	validation_0-logloss:0.598926
[115]	validation_0-logloss:0.598477
[116]	validation_0-logloss:0.598265
[117]	validation_0-logloss:0.598092
[118]	validation_0-logloss:0.598024
[119]	validation_0-logloss:0.597974
[120]	validation_0-logloss:0.598225
[121]	validation_0-logloss:0.598374
[122]	validation_0-logloss:0.598317
[123]	validation_0-logloss:0.598512
[124]	validation_0-logloss:0.598453
[125]	validation_0-logloss:0.598545
[126]	validation_0-logloss:0.598565
[127]	validation_0-logloss:0.598492
[128]	validation_0-logloss:0.598621
[129]	validation_0-logloss:0.598663
[130]	validation_0-logloss:0.598551
[131]	validation_0-logloss:0.598542
